"Time","Point_01 Monitor: Point_01 Monitor (Pa)","Point_02 Monitor: Point_02 Monitor (Pa)","Point_03 Monitor: Point_03 Monitor (Pa)","Point_04 Monitor: Point_04 Monitor (Pa)","Point_05 Monitor: Point_05 Monitor (Pa)","Point_06 Monitor: Point_06 Monitor (Pa)","Point_07 Monitor: Point_07 Monitor (Pa)","Point_08 Monitor: Point_08 Monitor (Pa)","Point_09 Monitor: Point_09 Monitor (Pa)","Point_10 Monitor: Point_10 Monitor (Pa)","Point_11 Monitor: Point_11 Monitor (Pa)","Point_12 Monitor: Point_12 Monitor (Pa)","Point_13 Monitor: Point_13 Monitor (Pa)","Point_14 Monitor: Point_14 Monitor (Pa)"
10.799999999999814,494306.8112659688,495299.7151898851,492302.2416052704,492076.3865483182,350913.0396379449,166994.12508082786,34141.01461243201,137432.2025418418,47315.18461347286,55252.043547118505,481.19286003827773,5525.068732066266,-22147.791630607026,-1032.589706560163
10.809999999999814,494956.6955906857,495787.03648087254,492615.5408793961,492249.96072080376,353668.50284118176,167222.2575055371,40717.4857155373,145546.56251140477,48212.31269615383,56685.248347145614,343.58923334247004,5510.3077983644935,-22198.72800829798,-948.5942037141073
10.819999999999814,495294.8909023648,496025.1281465739,492777.98857000074,492605.4760672989,355861.45605604065,167086.0122401516,41981.88972110486,154042.93507972552,47943.48713132643,60758.62042282594,211.95627264981573,5482.408435458639,-22175.433411193673,-848.6115206512628
10.829999999999814,495393.23450205394,496016.3008748145,492795.66761654546,492755.16152853915,357772.8151968026,166668.10232689927,40579.58807117091,162404.5171252387,45209.16816905904,65569.57024694688,-9.851091484423312,5414.89800062602,-22133.295947928887,-647.748494967014
10.839999999999813,495238.89068543515,495770.2020168494,492630.3999732554,492680.2978044784,358375.36906310543,166146.04478105486,34387.344037445815,170551.22588725574,40826.35117128907,68889.54613831408,-264.48110728090825,5311.349027374424,-22117.99211108539,-537.7794606710434
10.849999999999813,494898.4535882346,495367.2937281595,492292.4621318607,492356.7774135915,357590.6280686104,165779.57006845207,25922.699895051992,178519.67077271527,34474.13540153138,68327.42814224253,-563.3471222050524,5164.597349066385,-22126.500526526634,-420.1754545700091
10.859999999999813,494490.1888885741,494976.86078528187,491921.75389809767,491947.5314618096,355998.29439730605,165703.23131868735,16696.935471418292,184024.08341888431,26159.766157740658,66153.52284619884,-819.7050327856114,5033.994185508287,-22140.975741723774,-217.48562400532148
10.869999999999813,493943.43186759553,494546.19533857476,491491.02229105367,491538.08633425855,353114.28088331834,165757.80713819969,7650.164010551912,184113.5278316032,19808.510809190822,62049.25448848377,-1150.0572603081841,4876.030587513708,-22151.41139106751,-7.461835996455163
10.879999999999812,493342.6327444288,494159.17729675036,490975.8615898191,490952.6068427079,347570.9605661861,165705.0221554031,1465.5985792053418,181769.10230662228,16458.22302633004,57534.505643476456,-1446.6140050718243,4767.494575866842,-22160.989836293815,59.93866527726982
10.889999999999812,492949.61613153666,494042.4746301576,490672.99324954563,490601.43008474715,342875.5115382801,165551.46837498533,-3450.023911555292,178183.91777934984,16093.519535406085,55097.909671116955,-1594.8670634423022,4679.979084116676,-22184.739500854903,122.28267381440399
10.899999999999812,492990.11036775965,494433.2382971656,490811.9075642992,490692.9248545357,340661.3666470474,165443.4705049482,-3963.3660042617826,173731.24415029678,17890.92976106168,54050.596340539065,-1696.6567700052426,4643.978087024697,-22210.54540176043,325.30767552736006
10.909999999999812,493180.73625273275,495022.3009149178,491115.34091346327,490924.7771944775,341095.2085550844,165254.8550036007,-3594.3080965732256,170384.3474756901,21459.21628194754,54126.5530217259,-1707.362203594506,4651.004535176083,-22203.52347620091,543.6118214464806
10.919999999999812,493451.53984695073,495458.97792211245,491530.6633283744,491261.53653172305,343323.643261848,165183.81707074822,-2448.2295535683425,170608.66397668867,25178.36500958541,55369.28704503168,-1632.2609549887522,4668.83284857479,-22150.203333144313,754.4969687116644
10.929999999999811,493500.3809707985,494960.8705576852,491789.34518236096,491421.70936293853,346058.9751123447,165081.3108449359,4625.176413448935,171083.24874392292,29696.62522610357,57435.49897937409,-1510.9634975789756,4706.085557731883,-22068.90549413568,940.8407944912577
10.939999999999811,493417.28488121514,493932.4965515931,492009.5531642452,491578.77311067045,347538.64286108967,165040.53393406834,14144.960456990244,170126.09015633527,34271.90322821197,59667.51592713915,-1498.794544330252,4754.604917199347,-21982.789702250564,1131.8531421051657
10.949999999999811,493520.15412245865,493421.391606921,492360.1068465879,491907.56350782845,347658.9390783214,165150.63869812674,24665.306381525625,166408.72247540823,38716.867393610344,61987.198364110656,-1519.923878371513,4788.855308176479,-21921.3679641253,1346.001426148333
10.95999999999981,493801.65755336976,493713.39544553903,492726.78567139397,492340.2154035138,347098.3480097422,165445.94282835606,33104.20145805987,160658.58257109227,42124.471940627955,64509.46772253244,-1445.185835098508,4836.313688999963,-21856.56086341887,1540.1270488920454
10.96999999999981,493955.67884941143,494264.5987624275,492848.7479077371,492579.86788057414,346079.56093342946,165782.9628468408,40939.735321592714,155067.769153076,44254.45525608174,67158.89269873979,-1366.7373065391666,4880.96535997758,-21773.113393005293,1663.1907955345819
10.97999999999981,494174.3323561458,495087.0973274204,492825.53456020204,492732.86544622027,345241.63173506036,166352.0907951089,46460.497309044724,150638.41908505742,45428.94221778095,70234.52587567667,-1288.114022986592,4925.138807813208,-21674.897342629647,1768.0734091620964
