16.570,14309.87912,141478.7131,25856.94954,40587.07509
16.575,14930.05623,138549.001,26936.11483,38187.25783
16.580,15006.43152,137085.5208,23905.1144,37141.76838
16.585,14172.84586,134405.2022,19149.79949,36868.53908
16.590,14133.9123,133449.4376,18503.67335,36685.28925
16.595,14556.43396,132050.0108,17517.25958,36263.24735
16.600,14953.16256,131872.7581,18015.43033,35789.49381
16.605,15107.05869,131917.9592,18817.14993,35150.10067
16.610,14618.75212,132815.8483,19493.56373,34840.12856
16.615,12860.59249,135280.5324,20258.00194,34248.28915
16.620,12263.4954,137616.6501,21344.58126,34190.06992
16.625,9173.491614,141949.3938,24011.14649,34282.59949
16.630,8540.143675,145626.1051,26214.23528,34338.49522
16.635,6758.531014,151157.2381,29793.01924,34531.20021
16.640,7095.703565,154091.9646,31525.87839,35077.09703
16.645,5708.035341,158007.436,33707.24697,36185.06038
16.650,5493.232675,159330.5669,34177.20876,36417.94653
16.655,3559.368791,160880.2889,34498.58423,36579.56273
16.660,2900.47881,160212.4346,33459.2519,36535.44247
16.665,729.510691,158279.1012,32290.06137,35982.0302
16.670,-110.6918929,156161.3986,30823.28913,35345.13975
16.675,-2099.809044,153721.6638,29652.49859,34137.30244
16.680,-1916.380226,152736.7936,29434.32818,33553.23348
16.685,-1459.888146,151075.9692,29183.24707,32834.99362
16.690,-647.0096651,149987.7667,28550.6797,32309.50913
16.695,1842.753212,148695.5835,27989.92404,32196.76898
16.700,3917.36467,147929.5582,27465.04087,32322.01837
16.705,7429.391656,146077.623,27207.64019,32067.17313
16.710,9576.289665,144917.0883,27296.33013,31965.78658
16.715,13379.92601,142908.4265,27814.19369,31635.54197
16.720,15236.64769,142454.5935,28561.28067,31846.89487
16.725,17126.00016,141474.0194,29347.43429,31556.12813
16.730,18856.12261,141080.9215,29969.7617,31190.5059
16.735,20155.26092,141161.2073,30332.87251,31070.79606
16.740,20831.88173,141722.7854,30046.69264,30682.77733
16.745,21236.81215,142666.5258,29377.64288,30167.39857
16.750,21624.3985,143315.9431,28568.32025,29793.58509
16.755,22020.87426,143110.5074,27687.94263,29797.06332
16.760,21821.86006,142240.751,26951.96834,29958.81643
16.765,21695.17936,141504.6868,26846.47939,30306.24301
16.770,21224.19497,141323.9742,26715.32767,30549.17405
16.775,20680.06344,141334.0192,26453.20339,30777.65537
16.780,19688.94965,142248.0123,26036.4883,31273.81988
16.785,18228.7892,144864.7537,25010.58531,31848.58646
16.790,16562.28688,149081.7154,22672.25829,32055.21408
16.795,14709.71812,154474.2053,19616.83586,31600.9844
16.800,12428.12673,160897.862,16723.94599,30015.91033
16.805,10849.45825,168054.1936,12942.5596,28419.81495
16.810,10300.38633,175161.8815,9081.393547,27083.00658
16.815,11592.60405,180276.3033,6300.232777,26135.92636
16.820,13612.84517,182787.5424,4858.806168,25561.78897
16.825,15883.96548,182901.669,3511.598955,25527.25393
